id,run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
422512,1,0,Step_1,3,15718.12,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/1e373b1df77531c0.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/1e373b1df77531c0.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,69.00,66.00,"1,141.00","1,141.00",1910,1910,5755,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,1910,0,,,"31,535,955.00",Vercel,1119,198,0,0,"1,210.00","1,141.00","1,207.00","1,207.00","1,210.00",3.00,"1,141.00","1,210.00",69.00,10,11,0,0,,0.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,21,19,147,1,,,,,443,
422512,1,0,Step_1,3,15718.13,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/ba68fab8332e88db.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/ba68fab8332e88db.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,62.00,59.00,"1,141.00","1,141.00",1175,1175,2836,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,1175,0,,,"31,471,247.00",Vercel,1120,204,0,0,"1,203.00","1,141.00","1,200.00","1,200.00","1,203.00",3.00,"1,141.00","1,203.00",62.00,11,12,1,0,0,1.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,23,21,147,1,,,,,443,
422512,1,0,Step_1,3,15718.14,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/dd36530461bbbc21.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/dd36530461bbbc21.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,105.00,102.00,"1,141.00","1,141.00",11967,11967,32993,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,11967,0,,,"31,535,955.00",Vercel,1121,210,0,0,"1,246.00","1,141.00","1,243.00","1,243.00","1,246.00",3.00,"1,141.00","1,246.00",105.00,12,13,1,1,,1.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,25,23,147,1,,,,,443,
422512,1,0,Step_1,3,15718.15,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/e1cb059d44829afc.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/e1cb059d44829afc.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,127.00,107.00,"1,142.00","1,142.00",24166,24166,77105,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,24166,0,,,"31,513,568.00",Vercel,1121,216,0,0,"1,269.00","1,142.00","1,249.00","1,249.00","1,269.00",20.00,"1,142.00","1,269.00",127.00,13,14,2,1,,4.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,27,25,147,1,,,,,443,
422512,1,0,Step_1,3,15718.16,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/9873ca98561119f6.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/9873ca98561119f6.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,74.00,64.00,"1,142.00","1,142.00",29393,29393,90207,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,29393,0,,,"31,499,817.00",Vercel,1122,222,0,0,"1,216.00","1,142.00","1,206.00","1,206.00","1,216.00",10.00,"1,142.00","1,216.00",74.00,14,15,5,1,1,7.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,29,27,147,1,,,,,443,
422512,1,0,Step_1,3,15718.17,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/7e727d2e61c2afb2.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/7e727d2e61c2afb2.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,48.00,43.00,"1,143.00","1,143.00",12890,12890,41745,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,12890,0,,,"31,535,955.00",Vercel,1127,229,0,0,"1,191.00","1,143.00","1,186.00","1,186.00","1,191.00",5.00,"1,143.00","1,191.00",48.00,15,16,5,1,,5.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,31,29,147,1,,,,,443,
422512,1,0,Step_1,3,15718.18,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/76682c52b85b5413.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/76682c52b85b5413.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,97.00,95.00,"1,143.00","1,143.00",220,220,220,,"public,max-age=31536000,immutable",application/javascript,,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,"31,535,971.00",Vercel,1128,235,0,0,"1,240.00","1,143.00","1,238.00","1,238.00","1,240.00",2.00,"1,143.00","1,240.00",97.00,16,17,0,0,,0.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,33,31,147,1,,,,,443,
422512,1,0,Step_1,3,15718.19,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/592f142699b9acf5.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/592f142699b9acf5.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,105.00,100.00,"1,143.00","1,143.00",8254,8254,25375,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,8254,0,,,"31,535,955.00",Vercel,1129,241,0,0,"1,248.00","1,143.00","1,243.00","1,243.00","1,248.00",5.00,"1,143.00","1,248.00",105.00,17,18,2,1,,3.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,35,33,147,1,,,,,443,
422512,1,0,Step_1,3,15718.20,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/ad33130fb0bd06fb.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/ad33130fb0bd06fb.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,172.00,167.00,"1,151.00","1,151.00",10096,10096,25796,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,10096,0,,,"31,471,247.00",Vercel,1130,247,0,0,"1,323.00","1,151.00","1,318.00","1,318.00","1,323.00",5.00,"1,151.00","1,323.00",172.00,18,19,1,0,0,2.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,37,35,147,1,,,,,443,
422512,1,0,Step_1,3,15718.21,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/ad07bc24856dc35b.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/ad07bc24856dc35b.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,157.00,143.00,"1,151.00","1,151.00",15804,15804,45340,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,15804,0,,,"31,471,247.00",Vercel,1131,253,0,0,"1,308.00","1,151.00","1,294.00","1,294.00","1,308.00",14.00,"1,151.00","1,308.00",157.00,19,20,1,1,0,2.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,39,37,147,1,,,,,443,
