DATABASE_ID,MODEL_NAME,BASE_MODEL,PLATFORM,TRIGGER_TYPE,TRIGGER_GROUP_SPRINGS,GRADE,COMBO,GAUGE_1,GAUGE_2,BARREL_CONFIG,DISCIPLINE,RIB_TYPE,RIB_ADJUSTABLE_NOTCH,RIB_HEIGHT,RIB_STYLE_1,RIB_STYLE_2,RIB_STYLE_3
154_MX12_SCO_Sideplates,MX12 SCO Sideplates,MX12 ,MX,Fixed,Coil Springs,SCO Sideplates,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,Step,Ramp
155_MX12/3,MX12/3,MX12/3,MX,Fixed,Coil Springs,Standard,,12 GA,,Over / Under,"Sporting, Game",Adjustable,3,8mm,Notch,,
156_MX14,MX14,MX14,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Unsingle,Trap,Fixed,,4mm,Ramp,,
157_MX15,MX15,MX15,MX,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Unsingle,Trap,Adjustable,6,5mm,Notch,,
158_MX16,MX16,MX16,MX,Fixed,Coil Springs,Standard,,16 GA,,Over / Under,Game,Fixed,,,,,
159_MX16_SC2,MX16 SC2,MX16 ,MX,Fixed,Coil Springs,SC2,,16 GA,,Over / Under,Game,Fixed,,,,,
160_MX16_SC3,MX16 SC3,MX16 ,MX,Fixed,Coil Springs,SC3,,16 GA,,Over / Under,Game,Fixed,,,,,
161_MX16_SC3_Gold,MX16 SC3 Gold,MX16 ,MX,Fixed,Coil Springs,SC3 Gold,,16 GA,,Over / Under,Game,Fixed,,,,,
162_MX16_SCO,MX16 SCO,MX16 ,MX,Fixed,Coil Springs,SCO,,16 GA,,Over / Under,Game,Fixed,,,,,
163_MX16_SCO_Gold,MX16 SCO Gold,MX16 ,MX,Fixed,Coil Springs,SCO Gold,,16 GA,,Over / Under,Game,Fixed,,,,,
164_MX16_SCO_Gold_Sideplates,MX16 SCO Gold Sideplates,MX16 ,MX,Fixed,Coil Springs,SCO Gold Sideplates,,16 GA,,Over / Under,Game,Fixed,,,,,
