DATABASE_ID_SANITY,MODEL_NAME_SANITY,BASE_MODEL_SANITY,PLATFORM_SANITY,TRIGGER_TYPE_SANITY,TRIGGER_GROUP_SPRINGS_SANITY,GRADE_SANITY,COMBO_SANITY,COMBO_TYPE_SANITY,GAUGE_1_SANITY,GAUGE_2_SANITY,BARREL_CONFIG_SANITY,DISCIPLINE_SANITY,RIB_TYPE_SANITY,RIB_ADJUSTABLE_NOTCH_SANITY,RIB_HEIGHT_SANITY,RIB_STYLE_1_SANITY,RIB_STYLE_2_SANITY,RIB_STYLE_3_SANITY,CATEGORY_SANITY,IMAGE_LOCAL_PATH,IMAGE_FALLBACK_PATH,SOURCE_URL
69_MX410_Extra_Super,MX410,,MX,Fixed,Coil Springs,Extra Super,,,410 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx410-extra-super.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX410-Extra-Super-intero.jpg,https://www.perazzi.it/en/mx410-extra-super.php
70_MX410_Extra_Gold,MX410,,MX,Fixed,Coil Springs,Extra Gold,,,410 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx410-extra-oro.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX410-Extra-Oro-intero.jpg,https://www.perazzi.it/en/mx410-extra-oro.php
71_MX410_Extra,MX410,,MX,Fixed,Coil Springs,Extra,,,410 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-over-under_mx410-extra.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX410-Extra-intero.jpg,https://www.perazzi.it/en/mx410-extra.php
72_MX8,MX8,,MX,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,20 GA,Top Single,Trap,Fixed,,2mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx8-d.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX8-B-intero.jpg,https://www.perazzi.it/en/mx8-d.php
73_MX8,MX8,,MX,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx8-a2.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX8-A-intero-2.jpg,https://www.perazzi.it/en/mx8-a2.php
74_MX8_Trap,MX8,,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,Trap,12 GA,20 GA,Top Single,Trap,Fixed,,2mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx8-e.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX8-C-intero.jpg,https://www.perazzi.it/en/mx8-e.php
75_MX8_Trap_Carrier_Barrel,MX8,,MX,Removable,Flat Springs or Coil Springs,Standard,Yes,Trap (Carrier Barrel),12 GA,20 GA,Top Single,Trap,Fixed,,2mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx8-c.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX8-C-intero.jpg,https://www.perazzi.it/en/mx8-c.php
76_MX8_VINTAGE,MX8 VINTAGE,MX8,MX,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,20 GA,Over / Under,"Sporting, Trap",Fixed,,4mm,Step,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx8-vintage.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX8-Vintage-intero.jpg,https://www.perazzi.it/en/mx8-vintage.php
77_MXS,MXS,,MX,Fixed,Coil Springs,Standard,,,12 GA,20 GA,Over / Under,Sporting,Fixed,,,Flat,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mxs.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MXS-intero.jpg,https://www.perazzi.it/en/mxs.php
78_TM9,TM9,TM9,TM,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Top Single,Trap,Fixed,,6mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_tm9.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/TM9-intero.jpg,https://www.perazzi.it/en/tm9.php
79_TM9X,TM9X,TM9X,TM,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Top Single,Trap,Adjustable,4,19mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_tm9x.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/TM9X-intero.jpg,https://www.perazzi.it/en/tm9x.php
