DATABASE_ID_SANITY,MODEL_NAME_SANITY,BASE_MODEL_SANITY,PLATFORM_SANITY,TRIGGER_TYPE_SANITY,TRIGGER_GROUP_SPRINGS_SANITY,GRADE_SANITY,COMBO_SANITY,COMBO_TYPE_SANITY,GAUGE_1_SANITY,GAUGE_2_SANITY,BARREL_CONFIG_SANITY,DISCIPLINE_SANITY,RIB_TYPE_SANITY,RIB_ADJUSTABLE_NOTCH_SANITY,RIB_HEIGHT_SANITY,RIB_STYLE_1_SANITY,RIB_STYLE_2_SANITY,RIB_STYLE_3_SANITY,CATEGORY_SANITY,IMAGE_LOCAL_PATH,IMAGE_FALLBACK_PATH,SOURCE_URL
41_MX20_Extra_Super,MX20,,MX,Fixed,Coil Springs,Extra Super,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-set-of-four_mx20-extra-super.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX20-Extra-Super-intero.jpg,https://www.perazzi.it/en/mx20-extra-super.php
42_MX20_Extra_Gold,MX20,,MX,Fixed,Coil Springs,Extra Gold,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-set-of-four_mx20-extra-oro.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX20-Extra-Oro-intero.jpg,https://www.perazzi.it/en/mx20-extra-oro.php
43_MX20_Extra,MX20,,MX,Fixed,Coil Springs,Extra,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Game,Perazzi_Model_Information/Model_Photos/game-set-of-four_mx20-extra.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/MX20-Extra-intero.jpg,https://www.perazzi.it/en/mx20-extra.php
44_MX2000,MX2000,MX8,MX,Removable,Flat Springs or Coil Springs,2000,,,12 GA,20 GA,Unsingle,Trap,Adjustable,5,5mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000-intero.jpg,https://www.perazzi.it/en/mx2000.php
45_MX2000_RS_Trap,MX2000 RS,MX10RS,MX,Removable,Flat Springs or Coil Springs,2000,Yes,Trap,12 GA,20 GA,Unsingle,Trap,Adjustable,4,10mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000-rs.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000-RS-intero.jpg,https://www.perazzi.it/en/mx2000-rs.php
46_MX2000/10_Trap,MX2000/10,MX10,MX,Removable,Flat Springs or Coil Springs,2000,Yes,Trap,12 GA,20 GA,Top Single,Trap,Adjustable,4,17mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000-10.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000-10-intero.jpg,https://www.perazzi.it/en/mx2000-10.php
47_MX2000/3,MX2000/3,,MX,Removable,Flat Springs or Coil Springs,2000,,,12 GA,20 GA,Over / Under,Sporting,Adjustable,3,8mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000-3.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/mx2000-3-intero.jpg,https://www.perazzi.it/en/mx2000-3.php
48_MX2000/8,MX2000/8,MX8,MX,Removable,Flat Springs or Coil Springs,2000,,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000-8-a.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000-8-A-intero.jpg,https://www.perazzi.it/en/mx2000-8-a.php
49_MX2000/8_Trap,MX2000/8,MX8,MX,Removable,Flat Springs or Coil Springs,2000,Yes,Trap,12 GA,20 GA,Top Single,Trap,Fixed,,4mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000-8-e.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000-8-E-intero.jpg,https://www.perazzi.it/en/mx2000-8-e.php
50_MX2000/8_Sub-Gauge_Carrier,MX2000/8,MX8,MX,Removable,Flat Springs or Coil Springs,2000,Yes,Sub-Gauge (Carrier),12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000-8-d.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000-8-D-intero.jpg,https://www.perazzi.it/en/mx2000-8-d.php
51_MX2000S,MX2000S,MX12,MX,Fixed,Coil Springs,2000,,,12 GA,20 GA,Over / Under,"Sporting, Game",Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000s-a.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000S-MX2000S-20-intero.jpg,https://www.perazzi.it/en/mx2000s-a.php
52_MX2000S_Sub-Gauge_Carrier,MX2000S,MX12,MX,Fixed,Coil Springs,2000,Yes,Sub-Gauge (Carrier),12 GA,20 GA,Over / Under,"Sporting, Game",Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000s-b.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000S-intero.jpg,https://www.perazzi.it/en/mx2000s-b.php
53_MX2000S/3,MX2000S/3,MX12/3,MX,Fixed,Coil Springs,2000,,,12 GA,20 GA,Over / Under,Sporting,Adjustable,3,8mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-mx-tm_mx2000s-3.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/MX2000S-3-intero.jpg,https://www.perazzi.it/en/mx2000s-3.php
