SECTION,RECEIVER,,,,,,,,BARRELS,,,,,,,,,,,,,,,,,,,,,,,,WOOD,,,
FIELD ID,FRAME_SIZE,PLATFORM,DISCIPLINE,MODEL,TRIGGER_TYPE,GRADE,ENGRAVING,ACTION_FINISH,GAUGE,LENGTH,WEIGHT,CHOKE_TYPE,B1_CHOKE,B2_CHOKE,CHAMBER_LENGTH,BORE_DIAMETER,MONOBLOC,SIDERIBS_LENGTH,SIDERIBS_VENTILATION,BEAD_FRONT,BEAD_FRONT_COLOR,BEAD_FRONT_STYLE,BEAD_MID,RIB_TYPE,RIB_HEIGHT,RIB_STYLE,RIB_TRAMLINE,RIB_TRAMLINE_SIZE,RIB_TAPER_12,TRIGGER_GROUP_SPRINGS,TRIGGER_GROUP_SELECTIVE,TRIGGER_GROUP_SAFETY,WOOD_UPGRADE,FOREND_SHAPE,FOREND_CHECKER,STOCK_PROFILE
,,,,"MX2000/8 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"SCO GOLD SIDEPLATES --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,"0.036 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.036 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,,,,AUSTRALIANA
,,,,"MX2000S --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"EXTRA --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,"0.040 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.040 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,,,,WOODWARD
,,,,"MX2000S/3 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"EXTRA GOLD --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,"0.044 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.044 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,,,,PURDEY
,,,,"MX2005 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"EXTRA SUPER --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENGLISH STRAIGHT
,,,,"MX28 --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"GOLD --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTE CARLO
,,,,"MX28 B --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"PLATINUM --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX410 --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"2020 --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX410 B --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"2024 --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX8 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"X --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX8 VINTAGE --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"P --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HTS --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"2020 PALLADIUM --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HTS 3 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"2020 GOLD --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HTS 5 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"X GOLD --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 3 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 5 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 8 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 10 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = HT}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT RS --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = HT}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TM9 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = TM}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TM9X --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = TM}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"DC 12 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = DC}, {""DISCIPLINE"" = SPORTING, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"DC 20 --> {""FRAME_SIZE"" = 20), {""PLATFORM"" = DC}, {""DISCIPLINE"" = SPORTING, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
